
--- [START 2018-11-12_01-05-46] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = C:\Users\Admin\Desktop\doodle\code
	__file__     = baseline_25k
	out_dir      = ../../output

	<additional comments>
	  ... xxx baseline  ... 

** dataset setting **
batch_size = 320
train_dataset : 
	split        = train_0
	mode         = train
	complexity   = simplified
	len(self.id) = 8500000


valid_dataset : 
	split        = valid_0
	mode         = train
	complexity   = simplified
	len(self.id) = 27200



** net setting **
	initial_checkpoint = ../../output/backup/color_model_885.pth
<class 'model_seresnext50.Net'>
criterion=<function softmax_cross_entropy_criterion at 0x000001F743A0B0D0>

schduler
  (Exp) Decay Learning Rates
base_lr=0.010, decay=0.100, step=53125.000

** start training here! **
                    |------------ VALID -------------|-------- TRAIN/BATCH ----------|         
rate   iter  epoch  | loss   acc-1  acc-3   lb       | loss   acc-1  acc-3   lb      |  time   
----------------------------------------------------------------------------------------------------
0.0100   0.1    0.0 | 0.793  0.798  0.924  (0.856)   | 0.724  0.813  0.936  (0.870)  |  0 hr 02 min
0.0100   0.2    0.0 | 0.788  0.800  0.924  (0.858)   | 0.745  0.813  0.926  (0.865)  |  0 hr 04 min
0.0100   0.3    0.0 | 0.793  0.796  0.923  (0.855)   | 0.779  0.796  0.923  (0.855)  |  0 hr 06 min
0.0100   0.4    0.0 | 0.797  0.796  0.924  (0.855)   | 0.768  0.808  0.926  (0.862)  |  0 hr 08 min
0.0100   0.5    0.0 | 0.804  0.792  0.923  (0.853)   | 0.762  0.804  0.927  (0.862)  |  0 hr 11 min
0.0100   0.6    0.0 | 0.826  0.789  0.919  (0.849)   | 0.772  0.809  0.927  (0.863)  |  0 hr 13 min
0.0100   0.7    0.0 | 0.786  0.799  0.925  (0.857)   | 0.759  0.812  0.929  (0.865)  |  0 hr 15 min
0.0100   0.8    0.0 | 0.799  0.795  0.923  (0.854)   | 0.789  0.796  0.927  (0.857)  |  0 hr 17 min
0.0100   0.9    0.0 | 0.810  0.792  0.919  (0.850)   | 0.741  0.810  0.933  (0.866)  |  0 hr 19 min
0.0100   1.0    0.0 | 0.785  0.797  0.922  (0.854)   | 0.785  0.801  0.924  (0.858)  |  0 hr 21 min
0.0100   1.1    0.0 | 0.780  0.797  0.925  (0.856)   | 0.748  0.810  0.928  (0.865)  |  0 hr 24 min
0.0100   1.2    0.0 | 0.791  0.796  0.924  (0.855)   | 0.738  0.809  0.930  (0.865)  |  0 hr 26 min
0.0100   1.3    0.0 | 0.784  0.798  0.925  (0.857)   | 0.792  0.800  0.925  (0.857)  |  0 hr 28 min
